positivo,negativo,neutro
Este livro foi uma leitura absolutamente incrível! A história me cativou do início ao fim.,Este filme foi um desastre total. A atuação era terrível e a história não fazia sentido algum.,"O filme tinha uma história interessante, mas a atuação não me convenceu muito."
O restaurante tinha um ambiente agradável e a comida estava simplesmente deliciosa. Recomendo a todos!,A comida estava horrível e o serviço foi péssimo. Uma experiência muito desagradável. Não recomendo!,"A comida estava ok, nada de muito especial, mas também não estava ruim."
Adorei a apresentação! Os artistas foram talentosos e o show foi muito divertido.,Fiquei extremamente decepcionado com o produto. Quebrou na primeira semana e a qualidade era muito ruim.,"A apresentação teve seus momentos bons e ruins, um pouco irregular."
Recebi meu pedido e fiquei muito satisfeito com a qualidade do produto e a rapidez da entrega. Excelente serviço!,"A loja estava suja e desorganizada, e os funcionários não estavam nem um pouco dispostos a ajudar. Nunca mais volto!","O produto era exatamente como estava descrito, sem surpresas, tanto boas quanto ruins."
"A equipe foi muito atenciosa e prestativa, me ajudando em todas as minhas dúvidas. Experiência muito positiva!",A apresentação foi monótona e cansativa. O palestrante não tinha nenhuma energia e a palestra foi um desperdício de tempo.,"A equipe parecia eficiente, mas também não muito amigável. Atenderam minhas necessidades, apenas."
"A viagem foi fantástica! Os lugares eram lindos, as pessoas amigáveis e a culinária deliciosa. Mal posso esperar para voltar!","A viagem foi um pesadelo. Os hotéis eram ruins, os voos atrasaram e o atendimento foi péssimo. Experiência terrível!","A viagem foi ok, sem nenhum grande destaque, tanto positivo quanto negativo."
O produto superou minhas expectativas. Realmente vale cada centavo. Estou muito contente com a compra.,O produto chegou danificado e o atendimento ao cliente não foi nada prestativo. Estou muito frustrado com a compra.,"O produto era funcional, mas não tinha nenhuma característica especial que me surpreendesse."
A palestra foi muito inspiradora e motivadora. Saí de lá com muitas ideias e energia para colocar em prática.,A experiência foi muito decepcionante e estou pedindo meu dinheiro de volta. Perdi meu tempo e dinheiro.,"A palestra foi informativa, mas achei um pouco tediosa em alguns momentos."
O atendimento ao cliente foi excelente. Resolveram meu problema rapidamente e com muita cordialidade.,O produto era muito diferente do que estava na descrição e não atendeu às minhas expectativas. Não recomendo.,"O atendimento ao cliente foi correto, cumpriram o que foi acordado, sem nenhum problema, mas sem nenhum diferencial."
"Este é o melhor filme que eu vi nos últimos anos. A atuação, a fotografia e a trilha sonora são impecáveis.",A peça teatral foi muito confusa e difícil de entender. A atuação estava ruim e a história não me interessou nem um pouco.,"O livro tinha seus momentos bons, mas também algumas partes desinteressantes."
